Year,D Value,D After Value
1964,1.4489,1.4632
1965,1.1012,1.1743
1966,1.1991,1.1937
1969,1.3969,1.415
1970,1.043,1.0431
1984,1.2128,1.1106
1986,0.9024,0.9174
1990,1.02,0.9607
1996,1.0247,1.0221
1997,1.1776,1.1635
