Year,D Value,D After Value
1977,1.011,1.067
1979,1.433,1.485
1981,1.357,1.457
1982,1.417,1.472
1983,1.523,1.592
1984,1.576,1.65
1985,1.426,1.511
1986,0.994,1.173
1987,1.003,1.095
1988,1.011,1.027
1990,1.212,1.202
1992,1.101,1.174
1994,1.21,1.286
1996,1.06,1.068
1997,1.374,1.393
2004,1.004,1.129
2005,1.137,1.2
2010,1.266,1.323
2011,0.848,0.923
