s,d,p,test
0.7775491459667683,1.535285,0.001998002,flower-insect
0.5738897202253342,1.0494863,0.012987012987012988,music-instruments
0.9691887572407722,1.3815172,0.000999001,career-family
0.5247706145048141,1.1273065,0.012982017982017984,math-arts
0.2712605616301298,1.18489093,0.002996004,science-arts
0.4759625354781747,1.4800291,0.000999001,intellect-outer
