Year,D Value,D After Value
1947,1.517,1.643
1958,0.575,1.063
1964,0.131,1.127
1965,1.133,0.937
1966,0.919,1.091
1967,1.127,0.897
1968,0.944,1.098
1996,0.421,0.763
2002,0.456,1.531
2003,1.548,1.59
2006,0.425,1.284
2007,1.294,1.636
2008,1.627,0.887
