Year,D Value,D After Value
1996,0.883,0.885
1998,1.43,1.413
1999,1.031,1.077
2000,1.485,1.253
2001,0.482,0.807
2002,1.694,1.735
2004,1.386,1.707
2005,1.844,1.674
2006,1.82,1.908
2007,1.65,1.001
2008,1.464,1.709
2009,1.754,1.761
2010,1.75,1.472
2011,1.405,0.879
